WHITE: 33 {(Name: LegalMoves, Weight: 0.40455676051432465), (Name: Stone Count, Weight: 0.12022259163569812), (Name: SidePieces, Weight: 0.17224375215018814), (Name: CornerPieces, Weight: 0.1468020461352456), (Name: BlockedAdjacent, Weight: 0.15617484956454358), }
WHITE: 34 {(Name: LegalMoves, Weight: 0.42380471641003764), (Name: Stone Count, Weight: 0.06860521798941475), (Name: SidePieces, Weight: 0.18942182321953735), (Name: CornerPieces, Weight: 0.1481564538938055), (Name: BlockedAdjacent, Weight: 0.17001178848720477), }
WHITE: 35 {(Name: LegalMoves, Weight: 0.3810286425195782), (Name: Stone Count, Weight: 0.10464133278514662), (Name: SidePieces, Weight: 0.19739637975582283), (Name: CornerPieces, Weight: 0.14697705367160907), (Name: BlockedAdjacent, Weight: 0.16995659126784327), }
WHITE: 36 {(Name: LegalMoves, Weight: 0.39144053958159425), (Name: Stone Count, Weight: 0.06929793179578718), (Name: SidePieces, Weight: 0.2086980850959408), (Name: CornerPieces, Weight: 0.1556858235491751), (Name: BlockedAdjacent, Weight: 0.17487761997750276), }
WHITE: 37 {(Name: LegalMoves, Weight: 0.3467730522160936), (Name: Stone Count, Weight: 0.09914565294455696), (Name: SidePieces, Weight: 0.21737845371229256), (Name: CornerPieces, Weight: 0.15662343991866387), (Name: BlockedAdjacent, Weight: 0.18007940120839303), }
WHITE: 38 {(Name: LegalMoves, Weight: 0.35391861911867645), (Name: Stone Count, Weight: 0.05488365669661068), (Name: SidePieces, Weight: 0.22742876617130975), (Name: CornerPieces, Weight: 0.17804670147153137), (Name: BlockedAdjacent, Weight: 0.18572225654187183), }
WHITE: 39 {(Name: LegalMoves, Weight: 0.3141256923101649), (Name: Stone Count, Weight: 0.09590948288991903), (Name: SidePieces, Weight: 0.23203744598684306), (Name: CornerPieces, Weight: 0.17167475376697883), (Name: BlockedAdjacent, Weight: 0.18625262504609424), }
WHITE: 40 {(Name: LegalMoves, Weight: 0.32132406096085936), (Name: Stone Count, Weight: 0.05305340444131587), (Name: SidePieces, Weight: 0.24617675047205814), (Name: CornerPieces, Weight: 0.18519352652216714), (Name: BlockedAdjacent, Weight: 0.1942522576035995), }
WHITE: 41 {(Name: LegalMoves, Weight: 0.2914199824916311), (Name: Stone Count, Weight: 0.08422756706508543), (Name: SidePieces, Weight: 0.2466095286725495), (Name: CornerPieces, Weight: 0.18495571744089792), (Name: BlockedAdjacent, Weight: 0.19278720432983593), }
WHITE: 42 {(Name: LegalMoves, Weight: 0.3085805020574076), (Name: Stone Count, Weight: 0.048197500440976766), (Name: SidePieces, Weight: 0.25565863562303437), (Name: CornerPieces, Weight: 0.1904136735845159), (Name: BlockedAdjacent, Weight: 0.19714968829406535), }
WHITE: 43 {(Name: LegalMoves, Weight: 0.2747300817683721), (Name: Stone Count, Weight: 0.07907230579718338), (Name: SidePieces, Weight: 0.2588131748476216), (Name: CornerPieces, Weight: 0.18997485556818733), (Name: BlockedAdjacent, Weight: 0.19740958201863545), }
WHITE: 44 {(Name: LegalMoves, Weight: 0.2834598483310527), (Name: Stone Count, Weight: 0.0473949057529245), (Name: SidePieces, Weight: 0.2692966580255229), (Name: CornerPieces, Weight: 0.1969192348128489), (Name: BlockedAdjacent, Weight: 0.20292935307765095), }
WHITE: 45 {(Name: LegalMoves, Weight: 0.24651596933845274), (Name: Stone Count, Weight: 0.07898113517176743), (Name: SidePieces, Weight: 0.26947057131744445), (Name: CornerPieces, Weight: 0.20147386157865738), (Name: BlockedAdjacent, Weight: 0.20355846259367794), }
WHITE: 46 {(Name: LegalMoves, Weight: 0.25240008989109824), (Name: Stone Count, Weight: 0.04645442073781589), (Name: SidePieces, Weight: 0.28443376799422737), (Name: CornerPieces, Weight: 0.2045149879999812), (Name: BlockedAdjacent, Weight: 0.2121967333768773), }
WHITE: 47 {(Name: LegalMoves, Weight: 0.22980888309683498), (Name: Stone Count, Weight: 0.07526782524167201), (Name: SidePieces, Weight: 0.2792509947355715), (Name: CornerPieces, Weight: 0.2065550265308986), (Name: BlockedAdjacent, Weight: 0.20911727039502276), }
WHITE: 48 {(Name: LegalMoves, Weight: 0.23562279949720252), (Name: Stone Count, Weight: 0.04541441346152763), (Name: SidePieces, Weight: 0.29565756407877675), (Name: CornerPieces, Weight: 0.20547819191389322), (Name: BlockedAdjacent, Weight: 0.21782703104859982), }
WHITE: 49 {(Name: LegalMoves, Weight: 0.2147726606771396), (Name: Stone Count, Weight: 0.07415753872732005), (Name: SidePieces, Weight: 0.28539636176817706), (Name: CornerPieces, Weight: 0.21511261519037825), (Name: BlockedAdjacent, Weight: 0.210560823636985), }
WHITE: 50 {(Name: LegalMoves, Weight: 0.2242541671369004), (Name: Stone Count, Weight: 0.042004462440427236), (Name: SidePieces, Weight: 0.2970779575404458), (Name: CornerPieces, Weight: 0.2209766998947384), (Name: BlockedAdjacent, Weight: 0.2156867129874881), }
WHITE: 51 {(Name: LegalMoves, Weight: 0.1999811207936831), (Name: Stone Count, Weight: 0.07205225285799624), (Name: SidePieces, Weight: 0.29028699991268264), (Name: CornerPieces, Weight: 0.22453272225708434), (Name: BlockedAdjacent, Weight: 0.2131469041785537), }
WHITE: 52 {(Name: LegalMoves, Weight: 0.20963997362446746), (Name: Stone Count, Weight: 0.04736217078450339), (Name: SidePieces, Weight: 0.30019263502714366), (Name: CornerPieces, Weight: 0.22474911231131253), (Name: BlockedAdjacent, Weight: 0.21805610825257282), }
WHITE: 53 {(Name: LegalMoves, Weight: 0.19027600514408957), (Name: Stone Count, Weight: 0.07777188943979722), (Name: SidePieces, Weight: 0.29526473053444197), (Name: CornerPieces, Weight: 0.22218787068230084), (Name: BlockedAdjacent, Weight: 0.2144995041993704), }
WHITE: 54 {(Name: LegalMoves, Weight: 0.20631669393085977), (Name: Stone Count, Weight: 0.051914148444450414), (Name: SidePieces, Weight: 0.2991406935351439), (Name: CornerPieces, Weight: 0.22027494026167277), (Name: BlockedAdjacent, Weight: 0.2223535238278732), }
WHITE: 55 {(Name: LegalMoves, Weight: 0.1713584400812234), (Name: Stone Count, Weight: 0.08589908775340126), (Name: SidePieces, Weight: 0.2952404292520781), (Name: CornerPieces, Weight: 0.23578213003118348), (Name: BlockedAdjacent, Weight: 0.21171991288211367), }
WHITE: 56 {(Name: LegalMoves, Weight: 0.19674393274217117), (Name: Stone Count, Weight: 0.05223002545010909), (Name: SidePieces, Weight: 0.2951978148287062), (Name: CornerPieces, Weight: 0.2397326997958657), (Name: BlockedAdjacent, Weight: 0.2160955271831478), }
WHITE: 57 {(Name: LegalMoves, Weight: 0.16251097688759425), (Name: Stone Count, Weight: 0.07803138961143888), (Name: SidePieces, Weight: 0.3006249997316603), (Name: CornerPieces, Weight: 0.24269441359501173), (Name: BlockedAdjacent, Weight: 0.21613822017429493), }
WHITE: 58 {(Name: LegalMoves, Weight: 0.181657435861184), (Name: Stone Count, Weight: 0.04677522733975076), (Name: SidePieces, Weight: 0.3088195264223179), (Name: CornerPieces, Weight: 0.24442623082109885), (Name: BlockedAdjacent, Weight: 0.2183215795556484), }
WHITE: 59 {(Name: LegalMoves, Weight: 0.15379498194557764), (Name: Stone Count, Weight: 0.07947933043650782), (Name: SidePieces, Weight: 0.31136646431698906), (Name: CornerPieces, Weight: 0.23343657259686584), (Name: BlockedAdjacent, Weight: 0.22192265070405967), }
WHITE: 60 {(Name: LegalMoves, Weight: 0.16603210050045591), (Name: Stone Count, Weight: 0.04767533071465029), (Name: SidePieces, Weight: 0.3165509143047299), (Name: CornerPieces, Weight: 0.24578664222640012), (Name: BlockedAdjacent, Weight: 0.22395501225376369), }
WHITE: 61 {(Name: LegalMoves, Weight: 0.13737306911280656), (Name: Stone Count, Weight: 0.08455801330943952), (Name: SidePieces, Weight: 0.30826431179574476), (Name: CornerPieces, Weight: 0.24959911403730653), (Name: BlockedAdjacent, Weight: 0.22020549174470258), }
WHITE: 62 {(Name: LegalMoves, Weight: 0.15329024879532133), (Name: Stone Count, Weight: 0.05403188868108212), (Name: SidePieces, Weight: 0.318140893143104), (Name: CornerPieces, Weight: 0.2479215043880121), (Name: BlockedAdjacent, Weight: 0.22661546499248056), }
