||| WHITE | 20000 ||
WHITE: 40 {(Name: LegalMoves, Weight: 0.3497163484054628), (Name: Stone Count, Weight: 0.056322664957947154), (Name: SidePieces, Weight: 0.23116451296331086), (Name: CornerPieces, Weight: 0.17966607274689814), (Name: BlockedAdjacent, Weight: 0.18313040092638105), }
WHITE: 41 {(Name: LegalMoves, Weight: 0.3094311781559892), (Name: Stone Count, Weight: 0.0784919514819804), (Name: SidePieces, Weight: 0.23894596985445102), (Name: CornerPieces, Weight: 0.18673790746504343), (Name: BlockedAdjacent, Weight: 0.18639299304253584), }
WHITE: 42 {(Name: LegalMoves, Weight: 0.31932082258297684), (Name: Stone Count, Weight: 0.04765110945224592), (Name: SidePieces, Weight: 0.2516555047931287), (Name: CornerPieces, Weight: 0.18643005621760786), (Name: BlockedAdjacent, Weight: 0.19494250695404067), }
WHITE: 43 {(Name: LegalMoves, Weight: 0.288594020998987), (Name: Stone Count, Weight: 0.07341605476211942), (Name: SidePieces, Weight: 0.24759259254880314), (Name: CornerPieces, Weight: 0.19924413174331812), (Name: BlockedAdjacent, Weight: 0.19115319994677238), }
WHITE: 44 {(Name: LegalMoves, Weight: 0.29869453136517155), (Name: Stone Count, Weight: 0.04369430341168142), (Name: SidePieces, Weight: 0.2569415184613517), (Name: CornerPieces, Weight: 0.20697972293861533), (Name: BlockedAdjacent, Weight: 0.19368992382317998), }
WHITE: 45 {(Name: LegalMoves, Weight: 0.26589292684008076), (Name: Stone Count, Weight: 0.07169824861762915), (Name: SidePieces, Weight: 0.26075204665596335), (Name: CornerPieces, Weight: 0.20173877568729343), (Name: BlockedAdjacent, Weight: 0.19991800219903325), }
WHITE: 46 {(Name: LegalMoves, Weight: 0.2773361201105663), (Name: Stone Count, Weight: 0.04025647750348975), (Name: SidePieces, Weight: 0.2748347752515467), (Name: CornerPieces, Weight: 0.2072314204817062), (Name: BlockedAdjacent, Weight: 0.20034120665269092), }
WHITE: 47 {(Name: LegalMoves, Weight: 0.24795434707300718), (Name: Stone Count, Weight: 0.06578822962399448), (Name: SidePieces, Weight: 0.26930270087619257), (Name: CornerPieces, Weight: 0.2148760788578877), (Name: BlockedAdjacent, Weight: 0.2020786435689181), }
WHITE: 48 {(Name: LegalMoves, Weight: 0.2709040285179974), (Name: Stone Count, Weight: 0.04052163768608876), (Name: SidePieces, Weight: 0.2664665542269118), (Name: CornerPieces, Weight: 0.22453273881478242), (Name: BlockedAdjacent, Weight: 0.19757504075421978), }
WHITE: 49 {(Name: LegalMoves, Weight: 0.23241319181246267), (Name: Stone Count, Weight: 0.0633802916524339), (Name: SidePieces, Weight: 0.2707743618530089), (Name: CornerPieces, Weight: 0.23184557976371784), (Name: BlockedAdjacent, Weight: 0.20158657491837678), }
WHITE: 50 {(Name: LegalMoves, Weight: 0.23993517800890285), (Name: Stone Count, Weight: 0.040983276460626245), (Name: SidePieces, Weight: 0.2825582168336195), (Name: CornerPieces, Weight: 0.23221915454742767), (Name: BlockedAdjacent, Weight: 0.2043041741494236), }
WHITE: 51 {(Name: LegalMoves, Weight: 0.21008072309569545), (Name: Stone Count, Weight: 0.06658053502820735), (Name: SidePieces, Weight: 0.28131772434946184), (Name: CornerPieces, Weight: 0.23508041666518326), (Name: BlockedAdjacent, Weight: 0.20694060086145197), }
WHITE: 52 {(Name: LegalMoves, Weight: 0.21981060385692536), (Name: Stone Count, Weight: 0.037106974327561146), (Name: SidePieces, Weight: 0.2981742834588268), (Name: CornerPieces, Weight: 0.22898686393186984), (Name: BlockedAdjacent, Weight: 0.21592127442481676), }
WHITE: 53 {(Name: LegalMoves, Weight: 0.19918254913881506), (Name: Stone Count, Weight: 0.06481560451256904), (Name: SidePieces, Weight: 0.29145117168881857), (Name: CornerPieces, Weight: 0.23382432169991788), (Name: BlockedAdjacent, Weight: 0.21072635295987951), }
WHITE: 54 {(Name: LegalMoves, Weight: 0.20241561247443984), (Name: Stone Count, Weight: 0.03881920056026405), (Name: SidePieces, Weight: 0.29355908501590416), (Name: CornerPieces, Weight: 0.25070672838480623), (Name: BlockedAdjacent, Weight: 0.21449937356458568), }
WHITE: 55 {(Name: LegalMoves, Weight: 0.188855536492257), (Name: Stone Count, Weight: 0.06322450559237977), (Name: SidePieces, Weight: 0.29389952581193524), (Name: CornerPieces, Weight: 0.24162609564815793), (Name: BlockedAdjacent, Weight: 0.21239433645526998), }
WHITE: 56 {(Name: LegalMoves, Weight: 0.1952443614004856), (Name: Stone Count, Weight: 0.04082805486778595), (Name: SidePieces, Weight: 0.30345679522996233), (Name: CornerPieces, Weight: 0.24282255365536545), (Name: BlockedAdjacent, Weight: 0.2176482348464006), }
WHITE: 57 {(Name: LegalMoves, Weight: 0.17692569253754778), (Name: Stone Count, Weight: 0.06377583839456977), (Name: SidePieces, Weight: 0.3009055616289375), (Name: CornerPieces, Weight: 0.24240589131915963), (Name: BlockedAdjacent, Weight: 0.21598701611978524), }
WHITE: 58 {(Name: LegalMoves, Weight: 0.19460431133141282), (Name: Stone Count, Weight: 0.034285853912257316), (Name: SidePieces, Weight: 0.3067946839372554), (Name: CornerPieces, Weight: 0.2390594008373252), (Name: BlockedAdjacent, Weight: 0.22525574998174933), }
WHITE: 59 {(Name: LegalMoves, Weight: 0.1626559462057764), (Name: Stone Count, Weight: 0.06134878144925901), (Name: SidePieces, Weight: 0.30786635668500517), (Name: CornerPieces, Weight: 0.2506222200855741), (Name: BlockedAdjacent, Weight: 0.2175066955743854), }
WHITE: 60 {(Name: LegalMoves, Weight: 0.17207924084807302), (Name: Stone Count, Weight: 0.035895309072656915), (Name: SidePieces, Weight: 0.31248057574608723), (Name: CornerPieces, Weight: 0.26174830796183923), (Name: BlockedAdjacent, Weight: 0.2177965663713436), }
WHITE: 61 {(Name: LegalMoves, Weight: 0.14748812558353025), (Name: Stone Count, Weight: 0.06157745264622264), (Name: SidePieces, Weight: 0.305600904066121), (Name: CornerPieces, Weight: 0.2681528829834143), (Name: BlockedAdjacent, Weight: 0.2171806347207119), }
WHITE: 62 {(Name: LegalMoves, Weight: 0.15944625939542897), (Name: Stone Count, Weight: 0.03813830600625106), (Name: SidePieces, Weight: 0.31456038539596465), (Name: CornerPieces, Weight: 0.2666445884251445), (Name: BlockedAdjacent, Weight: 0.22121046077721074), }
WHITE: 63 {(Name: LegalMoves, Weight: 0.13044040971473417), (Name: Stone Count, Weight: 0.07764251554798192), (Name: SidePieces, Weight: 0.3075041392622056), (Name: CornerPieces, Weight: 0.26914288933525043), (Name: BlockedAdjacent, Weight: 0.21527004613982792), }
